municipality,country,iso3c,year,measurement_name,measurement_value,measurement_unit,original_variable_name
Haridwar,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_4_reliability
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_food_and_organic_tonnes_per_day,0.0,t/d,q_5_1
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_5_2
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_plastic_tonnes_per_day,0.0,t/d,q_5_3
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_glass_tonnes_per_day,0.0,t/d,q_5_4
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_metal_tonnes_per_day,0.0,t/d,q_5_5
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_energy_recovery_other_waste_tonnes_per_day,0.0,t/d,q_5_6
Haridwar,India,IND,2021,reliability_score_reliability_score,1.0,Score 0-1,q_5_reliability
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_food_and_organic_tonnes_per_day,0.0,t/d,q_6_1
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_paper_and_cardboard_tonnes_per_day,0.0,t/d,q_6_2
Haridwar,India,IND,2021,amount_of_waste_collected_formally_treated_recycling_composting_plastic_tonnes_per_day,0.0,t/d,q_6_3
